protocol,method,tau,fold,source_file,BA,MacroF1,MacroAUC
A,SCE,0.3,9,results/main_experiment/scratch_adam/training/sce/tau_30/fold_09/test_metrics.json,0.5626193464743929,0.28943057710051795,0.8366729225817249
A,SCE,0.4,0,results/main_experiment/scratch_adam/training/sce/tau_40/fold_00/test_metrics.json,0.5409433195607505,0.19510573869427902,0.8472836737013286
A,SCE,0.4,1,results/main_experiment/scratch_adam/training/sce/tau_40/fold_01/test_metrics.json,0.46146614429694954,0.1667929680232547,0.789544724181885
A,SCE,0.4,2,results/main_experiment/scratch_adam/training/sce/tau_40/fold_02/test_metrics.json,0.5625837983966812,0.21110569830616832,0.8470837135573906
A,SCE,0.4,3,results/main_experiment/scratch_adam/training/sce/tau_40/fold_03/test_metrics.json,0.47069763956324145,0.17464152809161376,0.8076184178904653
A,SCE,0.4,4,results/main_experiment/scratch_adam/training/sce/tau_40/fold_04/test_metrics.json,0.5103604635315409,0.19014484860041375,0.784615603784921
A,SCE,0.4,5,results/main_experiment/scratch_adam/training/sce/tau_40/fold_05/test_metrics.json,0.47028616803030865,0.17712588337901547,0.7812194159604735
A,SCE,0.4,6,results/main_experiment/scratch_adam/training/sce/tau_40/fold_06/test_metrics.json,0.511301701479096,0.18291185149892647,0.7976634121563965
A,SCE,0.4,7,results/main_experiment/scratch_adam/training/sce/tau_40/fold_07/test_metrics.json,0.5232891181598383,0.194538922205393,0.8343674279540672
A,SCE,0.4,8,results/main_experiment/scratch_adam/training/sce/tau_40/fold_08/test_metrics.json,0.5213798617878915,0.17723949037415077,0.8306245362384191
A,SCE,0.4,9,results/main_experiment/scratch_adam/training/sce/tau_40/fold_09/test_metrics.json,0.4722236748477608,0.1864940644747304,0.7926144557093766
A,SCE,0.5,0,results/main_experiment/scratch_adam/training/sce/tau_50/fold_00/test_metrics.json,0.5351965613479083,0.16811246071019373,0.8084105174847035
A,SCE,0.5,1,results/main_experiment/scratch_adam/training/sce/tau_50/fold_01/test_metrics.json,0.46878408913822656,0.15789487615699196,0.7704685539518286
A,SCE,0.5,2,results/main_experiment/scratch_adam/training/sce/tau_50/fold_02/test_metrics.json,0.5483039386182141,0.19903114910488057,0.8210299279008365
A,SCE,0.5,3,results/main_experiment/scratch_adam/training/sce/tau_50/fold_03/test_metrics.json,0.4551137978636242,0.1587734924660044,0.8100075375478651
