protocol,metric,method,tau,folds,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
S,MacroAUC,SCE,0.0,"0,1,2,3,4,5,6,7,8,9",10,0.04221753457647438,0.03688253467928766,0.04918946406140917,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04221753457647438
S,MacroAUC,SCE,0.1,"0,1,2,3,4,5,6,7,8,9",10,0.04333270671934554,0.0351414564409219,0.051241896554008314,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04333270671934554
S,MacroAUC,SCE,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.04233967400254476,0.03460883373938601,0.05104580010527581,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04233967400254476
S,MacroAUC,SCE,0.3,"0,1,2,3,4,5,6,7,8,9",10,0.019377462408414415,0.009859336488395185,0.027851178454895507,2.0,0.005859375,0.005859375,0.9272727272727272,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.005859375,0.01171875,0.019377462408414415
S,MacroAUC,SCE,0.4,"0,1,2,3,4,5,6,7,8,9",10,0.016503650683716554,0.005556027839489513,0.027566948377634196,8.0,0.048828125,0.02734375,0.7090909090909091,1,10000,True,0.048828125,0.02734375,+*,+*,True,,0.048828125,0.048828125,0.016503650683716554
S,MacroAUC,SCE,0.5,"0,1,2,3,4,5,6,7,8,9",10,0.01199694196189871,0.0061980478894628375,0.01837898426902042,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.00390625,0.01171875,0.01199694196189871
S,MacroAUC,ELR,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.0296543453228718,-0.034740080072725624,-0.02444407397191149,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.0296543453228718
S,MacroAUC,ELR,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.007114317678938342,-0.013391458022523065,-0.0016026391961922349,10.0,0.083984375,0.04296875,-0.6363636363636364,-1,10000,True,0.193359375,0.12890625,n.s.,n.s.,True,,0.083984375,0.193359375,-0.007114317678938342
S,MacroAUC,ELR,0.2,"0,1,2,3,4,5,6,7,8,9",10,-0.002632154612046256,-0.006804272995251586,0.0017025439699879157,16.0,0.275390625,0.25390625,-0.4181818181818182,-1,10000,True,0.275390625,0.25390625,n.s.,n.s.,True,,0.275390625,0.275390625,-0.002632154612046256
S,MacroAUC,ELR,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.014332024281463619,-0.016710241335074937,-0.01172925943217218,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.014332024281463619
