protocol,metric,method,tau,method_mean,baseline_mean,delta,rel_pct
SP,MacroAUC,SCE,0.0,0.9658159815090542,0.9365600622515796,0.029255919257474616,3.1237632733495597
SP,MacroAUC,SCE,0.1,0.9192606293013872,0.8853266143532823,0.033934014948104885,3.8329374038860413
SP,MacroAUC,SCE,0.2,0.9093212739136858,0.8722565697390424,0.03706470417464336,4.249289195463692
SP,MacroAUC,SCE,0.3,0.8872490380726118,0.8505244658268076,0.036724572245804166,4.317873702798621
SP,MacroAUC,SCE,0.4,0.8612260055957186,0.8318087649629339,0.029417240632784725,3.5365389103702918
SP,MacroAUC,SCE,0.5,0.8400969874014959,0.8176467035639796,0.02245028383751624,2.745719360166116
SP,MacroAUC,ELR,0.0,0.8891693078449828,0.9365600622515796,-0.04739075440659679,-5.060087047985466
SP,MacroAUC,ELR,0.1,0.8604885360356537,0.8853266143532823,-0.02483807831762863,-2.80552712580232
SP,MacroAUC,ELR,0.2,0.846624155385322,0.8722565697390424,-0.025632414353720434,-2.9386324211222643
SP,MacroAUC,ELR,0.3,0.8259094782980881,0.8505244658268076,-0.02461498752871949,-2.8940951751212576
SP,MacroAUC,ELR,0.4,0.7974124669952349,0.8318087649629339,-0.03439629796769894,-4.135120885535712
SP,MacroAUC,ELR,0.5,0.78402774150968,0.8176467035639796,-0.033618962054299595,-4.111673404633125
SP,MacroAUC,AsyCo,0.0,0.9095808941673125,0.9365600622515796,-0.026979168084267147,-2.8806660855692114
SP,MacroAUC,AsyCo,0.1,0.866642041807561,0.8853266143532823,-0.018684572545721312,-2.110472253154855
SP,MacroAUC,AsyCo,0.2,0.8577441049351291,0.8722565697390424,-0.014512464803913327,-1.663783949286286
SP,MacroAUC,AsyCo,0.3,0.8271188396515436,0.8505244658268076,-0.023405626175263983,-2.751905102754572
SP,MacroAUC,AsyCo,0.4,0.841651780077884,0.8318087649629339,0.009843015114950115,1.1833266887237872
SP,MacroAUC,AsyCo,0.5,0.8261583423410104,0.8176467035639796,0.008511638777030761,1.0409922451750873
A,BA,SCE,0.0,0.6995243799973526,0.6736710354635836,0.025853344533768974,3.837680881734527
A,BA,SCE,0.1,0.6251501713523278,0.545697387672697,0.07945278367963071,14.559861467998372
A,BA,SCE,0.2,0.59710432338022,0.5187436025215921,0.07836072085862789,15.105867422310274
A,BA,SCE,0.3,0.563240573288388,0.4925214351355464,0.07071913815284153,14.35859093795156
A,BA,SCE,0.4,0.5044531889654058,0.45669302687543806,0.04776016208996775,10.457825996759574
A,BA,SCE,0.5,0.4824823495232062,0.44337337594228243,0.039108973580923745,8.820776280895785
A,BA,ELR,0.0,0.5854440374651901,0.6736710354635836,-0.08822699799839351,-13.096451139194443
A,BA,ELR,0.1,0.5434750602236937,0.545697387672697,-0.002222327449003303,-0.4072453889656934
A,BA,ELR,0.2,0.49366672487088337,0.5187436025215921,-0.025076877650708762,-4.834156513701769
A,BA,ELR,0.3,0.48531468824584134,0.4925214351355464,-0.0072067468897050735,-1.4632351762967861
A,BA,ELR,0.4,0.4507539927027014,0.45669302687543806,-0.005939034172736668,-1.3004433663832853
A,BA,ELR,0.5,0.41950807763486464,0.44337337594228243,-0.023865298307417793,-5.3826638229455925
A,BA,AsyCo,0.0,0.5069114592920909,0.6736710354635836,-0.16675957617149273,-24.753858692579513
A,BA,AsyCo,0.1,0.4575256681127441,0.545697387672697,-0.08817171955995295,-16.157621706050264
A,BA,AsyCo,0.2,0.46317604094966275,0.5187436025215921,-0.05556756157192938,-10.711951203218248
A,BA,AsyCo,0.3,0.4034387509675582,0.4925214351355464,-0.0890826841679882,-18.087067447830336
A,BA,AsyCo,0.4,0.40676752214029044,0.45669302687543806,-0.04992550473514762,-10.931961251242114
A,BA,AsyCo,0.5,0.3740494179372609,0.44337337594228243,-0.06932395800502156,-15.635570777719867
A,MacroF1,SCE,0.0,0.5696246603209387,0.43883701999857916,0.13078764032235957,29.803237731124646
A,MacroF1,SCE,0.1,0.36541227565386764,0.1965507567706384,0.16886151888322923,85.91242366992225
A,MacroF1,SCE,0.2,0.3147794563282274,0.18342607972821595,0.13135337660001145,71.61106904461946
A,MacroF1,SCE,0.3,0.2624755806315269,0.16221068942016198,0.10026489121136489,61.811519061888944
A,MacroF1,SCE,0.4,0.18561009936479456,0.1417246432948684,0.043885456069926165,30.96529654240815
A,MacroF1,SCE,0.5,0.1668939446003283,0.12845593445603534,0.03843801014429296,29.923109669525275
