protocol,metric,tau,rank,method,mean,lo,hi,n,gap_to_next
A,BA,0.0,3,ELR,0.5854440374651901,0.5656263502128188,0.6050545106100905,10,0.07853257817309922
A,BA,0.0,4,AsyCo,0.5069114592920909,0.49296082038631167,0.5218558438397382,10,
A,BA,0.1,1,SCE,0.6251501713523278,0.599120163408567,0.6546194213128381,10,0.07945278367963071
A,BA,0.1,2,baseline,0.545697387672697,0.534680215319178,0.5549903074704532,10,0.002222327449003303
A,BA,0.1,3,ELR,0.5434750602236937,0.5228114590333219,0.5647187153671789,10,0.08594939211094965
A,BA,0.1,4,AsyCo,0.4575256681127441,0.4385080599721531,0.4747045623633263,10,
A,BA,0.2,1,SCE,0.59710432338022,0.5744981463540463,0.6200328995563623,10,0.07836072085862789
A,BA,0.2,2,baseline,0.5187436025215921,0.4972328911234456,0.5393317694640445,10,0.025076877650708762
A,BA,0.2,3,ELR,0.49366672487088337,0.46341075809666715,0.519575850372853,10,0.030490683921220618
A,BA,0.2,4,AsyCo,0.46317604094966275,0.44908778582640924,0.47763689715320173,10,
A,BA,0.3,1,SCE,0.563240573288388,0.5477956806415065,0.5761313892963136,10,0.07071913815284153
A,BA,0.3,2,baseline,0.4925214351355464,0.4692424973459706,0.5130233840108844,10,0.0072067468897050735
A,BA,0.3,3,ELR,0.48531468824584134,0.46068888663326324,0.5087414594519811,10,0.08187593727828313
A,BA,0.3,4,AsyCo,0.4034387509675582,0.38490497488430636,0.42190845781496317,10,
A,BA,0.4,1,SCE,0.5044531889654058,0.4844697862599485,0.5250328613505434,10,0.04776016208996775
A,BA,0.4,2,baseline,0.45669302687543806,0.43530083189878777,0.4763066547656664,10,0.005939034172736668
A,BA,0.4,3,ELR,0.4507539927027014,0.43494385664209245,0.46655161108334486,10,0.04398647056241095
A,BA,0.4,4,AsyCo,0.40676752214029044,0.39521584926613285,0.4184670770160552,10,
A,BA,0.5,1,SCE,0.4824823495232062,0.453996466689622,0.5104442912675378,10,0.039108973580923745
A,BA,0.5,2,baseline,0.44337337594228243,0.42211161938043135,0.46478655911326544,10,0.023865298307417793
A,BA,0.5,3,ELR,0.41950807763486464,0.38624099698189457,0.4496125885674619,10,0.045458659697603765
A,BA,0.5,4,AsyCo,0.3740494179372609,0.34814952170118113,0.3968754395000009,10,
A,MacroF1,0.0,1,SCE,0.5696246603209387,0.5517081446989976,0.5870908835071206,10,0.13078764032235957
A,MacroF1,0.0,2,baseline,0.43883701999857916,0.42551231994124894,0.451590183668947,10,0.1261179014121262
A,MacroF1,0.0,3,ELR,0.31271911858645296,0.2977972852126211,0.3273801162042526,10,0.04053749747745422
A,MacroF1,0.0,4,AsyCo,0.27218162110899874,0.2587011802685072,0.2845382043014629,10,
A,MacroF1,0.1,1,SCE,0.36541227565386764,0.34908157105422927,0.3837047381785125,10,0.16488734927621418
A,MacroF1,0.1,2,ELR,0.20052492637765346,0.18689015428845493,0.21642926047086505,10,0.003974169607015049
A,MacroF1,0.1,3,baseline,0.1965507567706384,0.18471916857018117,0.20890992596137584,10,0.013839275136580953
A,MacroF1,0.1,4,AsyCo,0.18271148163405745,0.1690938674262933,0.19866181283155585,10,
A,MacroF1,0.2,1,SCE,0.3147794563282274,0.3054127168804026,0.32402216545507967,10,0.13135337660001145
A,MacroF1,0.2,2,baseline,0.18342607972821595,0.17530126496080076,0.1909477598792341,10,0.005794066961413991
A,MacroF1,0.2,3,ELR,0.17763201276680196,0.17086597118428548,0.1852697505665976,10,0.0059240636355651355
A,MacroF1,0.2,4,AsyCo,0.17170794913123683,0.1591679596056498,0.18477441212861856,10,
A,MacroF1,0.3,1,SCE,0.2624755806315269,0.25062354190616054,0.2727360021221573,10,0.10026489121136489
A,MacroF1,0.3,2,baseline,0.16221068942016198,0.15116663094828844,0.1726240194688543,10,0.0030326064079067017
A,MacroF1,0.3,3,ELR,0.15917808301225528,0.14950517182537537,0.17107672696087478,10,0.022284345328673072
A,MacroF1,0.3,4,AsyCo,0.1368937376835822,0.1266876861098935,0.148039330034504,10,
