protocol,method,tau,epoch,n,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi
AP,AsyCo,0.3,0,10,0.06156735110042353,0.05504711966729402,0.06886901078709291,0.135184222471139,0.12211401809892766,0.14863166858099258
AP,AsyCo,0.3,30,10,0.1291025844272758,0.11742283890327294,0.14183674067805474,0.31189134496110815,0.293358095768047,0.32857085141903897
AP,AsyCo,0.3,60,10,0.16244094925230673,0.14148370366356558,0.18518835160911382,0.31503963902861154,0.3020517256500719,0.3302527473689054
AP,AsyCo,0.3,90,10,0.17731968499168677,0.16013140381637964,0.19673636211769338,0.3158071595798918,0.2997420132653701,0.3342667479252256
AP,AsyCo,0.3,120,10,0.190954955003369,0.16938311085759894,0.2139690261699295,0.31744261394844253,0.29594404480759,0.3398986897101077
AP,AsyCo,0.3,149,10,0.1763942655085838,0.1581781228022983,0.19483107285061202,0.2977076852915427,0.28215893021882127,0.3165389876126217
AP,AsyCo,0.4,0,10,0.05452627803615436,0.04646641845784408,0.062387909523138434,0.1247805607926095,0.11636218474185456,0.13295498005872286
AP,AsyCo,0.4,30,10,0.12949795327113284,0.11810563188253795,0.1412835687168001,0.29116305473640497,0.27233114819398735,0.31351275118182814
AP,AsyCo,0.4,60,10,0.14279439084859982,0.12970833151439343,0.1548691068211372,0.3006679409124392,0.28266817057971744,0.319924505060995
AP,AsyCo,0.4,90,10,0.15553568405621088,0.14117807701813018,0.1708699418157665,0.32044905206428353,0.3082983069523704,0.3312240703132841
AP,AsyCo,0.4,120,10,0.15813853199072975,0.13544553748304322,0.1830752073796033,0.30760825573840656,0.29418456277778726,0.32071880419489623
AP,AsyCo,0.4,149,10,0.1591534714988539,0.1428118414511132,0.17717419837396306,0.31976629720170474,0.30551696471192685,0.3325198002879924
AP,AsyCo,0.5,0,10,0.05294023501886327,0.04595440262477592,0.060465738591805686,0.12510847331054564,0.11567896946344795,0.13820075319334618
AP,AsyCo,0.5,30,10,0.11423743692344837,0.10493155251168425,0.12456895703403152,0.2884013742952257,0.27146101972028575,0.3018601547608621
AP,AsyCo,0.5,60,10,0.14044967601593877,0.12546816055646917,0.15616097253121705,0.2977707211391699,0.28819819979044026,0.3074334856284693
AP,AsyCo,0.5,90,10,0.1450477147610672,0.12928425600771284,0.16221040716797966,0.28836731915894714,0.2706394698095027,0.3039902106595153
AP,AsyCo,0.5,120,10,0.1611610642335028,0.145632584058467,0.18342314695586717,0.3155047367546251,0.296996645552236,0.33102404260644724
AP,AsyCo,0.5,149,10,0.15048652862598,0.1376883693633528,0.16524095134717073,0.29995155804616,0.2797930874100535,0.3157187890696152
AP,ELR,0.1,0,10,0.057995207072374676,0.04684881309005652,0.07011828948713587,0.14419085094801037,0.11186843017971544,0.1827876904950831
AP,ELR,0.1,30,10,0.1063532214809995,0.09991312981428016,0.11271317064188466,0.3169078414935952,0.28158240632241294,0.35017707751502314
AP,ELR,0.1,60,10,0.11815166975529737,0.11449262631724653,0.12201583173487032,0.41910197236032787,0.38582535630367404,0.4506166415009918
AP,ELR,0.1,90,10,0.12272646526404632,0.11862077611967331,0.12736894913925714,0.5586958824084312,0.5380783347683811,0.5785817043958746
AP,ELR,0.1,120,10,0.11865982561900734,0.11473508399430925,0.12263008561064083,0.6435037372123315,0.6208870043665339,0.6652365672293487
AP,ELR,0.1,149,10,0.11894925414798499,0.11418645461898444,0.12395791918811114,0.6676709434965928,0.6386100714390932,0.6915747245569962
AP,ELR,0.2,0,10,0.05087093945243283,0.040935634253391216,0.062113424230927645,0.12017508921444524,0.10685731338682122,0.1351576850812213
AP,ELR,0.2,30,10,0.10343076080022258,0.09860802850015736,0.10862879427559986,0.3051800579286839,0.27191905470849986,0.338817230915244
AP,ELR,0.2,60,10,0.10908014454734363,0.10196647223727273,0.11776430063964911,0.4093464005250967,0.3840081952420547,0.433930147158919
AP,ELR,0.2,90,10,0.11554471524962769,0.10959266522670984,0.1212184555046663,0.5254795723143738,0.5077966135888974,0.5438850748955689
AP,ELR,0.2,120,10,0.11999222426988362,0.11442388790918454,0.12491633809663466,0.6169070108742856,0.6009932241436904,0.63188044895169
AP,ELR,0.2,149,10,0.11960716686985214,0.11559641182674914,0.12315600931151238,0.6470289372013648,0.6320721622094709,0.6606721782101727
AP,ELR,0.3,0,10,0.059536757217490556,0.05446757614998755,0.06604580722798534,0.13025239494384996,0.11599134677892377,0.14525805700620298
AP,ELR,0.3,30,10,0.07697325948632495,0.06670557312038668,0.08824545345035073,0.24619132639521069,0.22416327122883303,0.2713862512261737
AP,ELR,0.3,60,10,0.09902434742150393,0.09492321703071721,0.10311958415233942,0.3621065729168678,0.34276452752540876,0.38452439002477923
AP,ELR,0.3,90,10,0.10070019614438186,0.09825096623516771,0.10314808544061307,0.4867987039547487,0.46172475152461984,0.5120381882429222
AP,ELR,0.3,120,10,0.10634443622075865,0.10485242927420424,0.1079813466564387,0.5683451421402109,0.5540369661090626,0.5821625924312931
AP,ELR,0.3,149,10,0.10819341402247126,0.10628856920535942,0.11039064692352847,0.5999963898671883,0.5924119028183524,0.6074575759207119
AP,ELR,0.4,0,10,0.04349609515047998,0.03508249476058363,0.05205331580900333,0.11142034652974256,0.0981269958062978,0.12528876895229202
AP,ELR,0.4,30,10,0.0874405923194554,0.07782807392878682,0.09845918588559756,0.2535452425015273,0.2243376561666317,0.2888462783738023
AP,ELR,0.4,60,10,0.0882008303133304,0.08362339337705668,0.09211950876571204,0.31383080863005686,0.2997118825295191,0.32569421401663123
AP,ELR,0.4,90,10,0.08878061535023768,0.08605807277546088,0.09137785175452982,0.4224695524336318,0.4045921299738689,0.435789551564942
AP,ELR,0.4,120,10,0.09574637551337065,0.09340295617841887,0.09834198010478452,0.5231395177001418,0.5047933937106985,0.5403075234933954
AP,ELR,0.4,149,10,0.09878316684490032,0.09536745254257235,0.10272501653034412,0.5439300024565747,0.5266024717323431,0.557407248148836
AP,ELR,0.5,0,10,0.05054666204108571,0.0456788903023918,0.05498267964182972,0.12589641874805244,0.11587115926374722,0.13566711481449945
AP,ELR,0.5,30,10,0.07212546795078138,0.06308923102961664,0.08344024643055747,0.20004919630636597,0.17948917518195792,0.22357651908338075
AP,ELR,0.5,60,10,0.07577699754031839,0.07037002134831244,0.0810053544961589,0.29153627677290883,0.2632015381721214,0.3200799263267381
AP,ELR,0.5,90,10,0.082247325115582,0.07974022951912382,0.08512046020412646,0.39387630473346025,0.3740385968610606,0.4155094746707399
AP,ELR,0.5,120,10,0.08627025921117333,0.08315122332711047,0.08859868148047895,0.47528081008597656,0.45477456487506096,0.49706066397893467
AP,ELR,0.5,149,10,0.08700391926393529,0.08455611622134118,0.08916194541782198,0.49911484917447246,0.4822277184755104,0.5173147796317825
AP,SCE,0.1,0,10,0.13376443160176227,0.09699573185529649,0.1757877803634012,0.2547485600491888,0.1942100162887514,0.31699876139722194
AP,SCE,0.1,30,10,0.4677012799427058,0.41963415574110285,0.5030232750412232,0.2838675522941756,0.26897242667446564,0.29877241276894395
AP,SCE,0.1,60,10,0.421656094656491,0.3733426785183738,0.467070061534653,0.3361460994676654,0.3206050020403932,0.35322058313539445
AP,SCE,0.1,90,10,0.46530158271061606,0.4442984017096152,0.48613524669875335,0.40777634501729343,0.3935175645675943,0.4211169869022345
AP,SCE,0.1,120,10,0.4598887055551068,0.44489062979631827,0.47232772063268685,0.45739297347859476,0.44699594178194485,0.46751822475944993
AP,SCE,0.1,149,10,0.45621243444126336,0.4400215387495609,0.47008093342192864,0.4742463287088811,0.4602833127378608,0.49056906380001236
AP,SCE,0.2,0,10,0.07260040501172624,0.05821469009418267,0.08541586028644536,0.19868873999239914,0.13824859344667806,0.26470839015100006
AP,SCE,0.2,30,10,0.3668889527809301,0.2962291177813708,0.43748005207597984,0.2875573975321978,0.2692268960324074,0.3093551035098552
AP,SCE,0.2,60,10,0.3869764092845974,0.34242884242737254,0.42905287884015303,0.3408910577778826,0.3161525050958072,0.3685732281967917
AP,SCE,0.2,90,10,0.3868672224739221,0.3639036313535699,0.4090803651027869,0.42551860104195416,0.402542530838391,0.4504132348598391
AP,SCE,0.2,120,10,0.392115043465233,0.3645830650475138,0.41634342384098033,0.481633187327761,0.4648307084074958,0.5035560001674514
AP,SCE,0.2,149,10,0.3871431169892475,0.3720688053649859,0.40264152950948406,0.5021718851633556,0.48903695486844306,0.5163003367811007
AP,SCE,0.3,0,10,0.09246432289625192,0.0738421188845688,0.11034036209690916,0.2548115491994186,0.19936388463770147,0.31284235284277856
AP,SCE,0.3,30,10,0.2639180782354992,0.2072071713281587,0.3267065234253734,0.3229828714492925,0.2883963694777289,0.3607574474984685
AP,SCE,0.3,60,10,0.2738041376991229,0.23020333761653836,0.3185182195937151,0.35818732188072117,0.32516806629719247,0.396803794961786
AP,SCE,0.3,90,10,0.31482414634094275,0.28546857811364057,0.3453221478512684,0.42597049592373953,0.4031150492912892,0.451166596731181
AP,SCE,0.3,120,10,0.31617488120055637,0.29723827990329527,0.3336945407246969,0.49247429031419154,0.47024085073035177,0.5162229798188901
AP,SCE,0.3,149,10,0.32610592076579153,0.31109340326396223,0.3431748243153362,0.5134986825727597,0.49862105155487474,0.526793414044448
AP,SCE,0.4,0,10,0.060300433377260244,0.04649689741745303,0.07473077955433585,0.15970615429876975,0.12136316057666116,0.19976870705402042
AP,SCE,0.4,30,10,0.16856678120783863,0.13277366631765927,0.2093355146839166,0.3133405137855071,0.2814762085615636,0.343153707741355
AP,SCE,0.4,60,10,0.17918533373394002,0.1487626658216694,0.21433557657573354,0.38415972796584197,0.3670783098765913,0.400472866956654
