protocol,method,tau,fold,epoch,nta,lnmr
A,ELR,0.2,1,30,0.07553956834532374,0.1302158273381295
A,ELR,0.2,1,60,0.07841726618705036,0.1669064748201439
A,ELR,0.2,1,90,0.09424460431654676,0.2474820143884892
A,ELR,0.2,1,120,0.10719424460431655,0.31151079136690646
A,ELR,0.2,1,149,0.10359712230215827,0.3446043165467626
A,ELR,0.2,2,0,0.05403458213256484,0.10590778097982709
A,ELR,0.2,2,30,0.07636887608069164,0.18155619596541786
A,ELR,0.2,2,60,0.07564841498559077,0.1873198847262248
A,ELR,0.2,2,90,0.09293948126801153,0.2564841498559078
A,ELR,0.2,2,120,0.10518731988472622,0.37680115273775217
A,ELR,0.2,2,149,0.1037463976945245,0.3840057636887608
A,ELR,0.2,3,0,0.016236162361623615,0.06715867158671587
A,ELR,0.2,3,30,0.07822878228782287,0.18228782287822878
A,ELR,0.2,3,60,0.06789667896678966,0.1881918819188192
A,ELR,0.2,3,90,0.09225092250922509,0.31439114391143913
A,ELR,0.2,3,120,0.10627306273062731,0.37343173431734317
A,ELR,0.2,3,149,0.1018450184501845,0.3800738007380074
A,ELR,0.2,4,0,0.026865671641791045,0.09925373134328358
A,ELR,0.2,4,30,0.07462686567164178,0.1783582089552239
A,ELR,0.2,4,60,0.08134328358208955,0.25
A,ELR,0.2,4,90,0.09850746268656717,0.2880597014925373
A,ELR,0.2,4,120,0.10597014925373134,0.38283582089552237
A,ELR,0.2,4,149,0.09776119402985074,0.3932835820895522
A,ELR,0.2,5,0,0.04035216434336023,0.08877476155539252
A,ELR,0.2,5,30,0.0719002201027146,0.1702127659574468
A,ELR,0.2,5,60,0.06896551724137931,0.1922230374174615
A,ELR,0.2,5,90,0.10051357300073367,0.28539985326485695
A,ELR,0.2,5,120,0.09977989728539985,0.3462949376375642
A,ELR,0.2,5,149,0.10931768158473955,0.38958180484225974
A,ELR,0.2,6,0,0.017869907076483203,0.091493924231594
A,ELR,0.2,6,30,0.06790564689063616,0.12508934953538242
A,ELR,0.2,6,60,0.09792709077912795,0.22944960686204433
A,ELR,0.2,6,90,0.09935668334524661,0.28806290207290924
A,ELR,0.2,6,120,0.11007862759113653,0.32237312365975695
A,ELR,0.2,6,149,0.11436740528949249,0.35525375268048603
A,ELR,0.2,7,0,0.029181494661921707,0.10818505338078292
A,ELR,0.2,7,30,0.0797153024911032,0.1615658362989324
A,ELR,0.2,7,60,0.060498220640569395,0.1786476868327402
A,ELR,0.2,7,90,0.08398576512455516,0.31316725978647686
A,ELR,0.2,7,120,0.09750889679715302,0.35871886120996443
A,ELR,0.2,7,149,0.08896797153024912,0.3622775800711744
A,ELR,0.2,8,0,0.021551724137931036,0.09482758620689655
A,ELR,0.2,8,30,0.04597701149425287,0.16091954022988506
A,ELR,0.2,8,60,0.07112068965517242,0.20833333333333334
A,ELR,0.2,8,90,0.08548850574712644,0.3031609195402299
A,ELR,0.2,8,120,0.08692528735632184,0.3541666666666667
A,ELR,0.2,8,149,0.08764367816091954,0.3757183908045977
A,ELR,0.2,9,0,0.01764705882352941,0.0713235294117647
A,ELR,0.2,9,30,0.058823529411764705,0.14044117647058824
