protocol,method,tau,metric,first_epoch,first_value,peak_epoch,peak_value,final_epoch,final_value
SP,ELR,0.4,lnmr,0,0.12142738740385214,149,0.5734849389619951,149,0.5734849389619951
SP,ELR,0.5,nta,0,0.055568597703074187,149,0.09493963318076519,149,0.09493963318076519
SP,ELR,0.5,lnmr,0,0.12145627618411343,149,0.5882434185137846,149,0.5882434185137846
SP,SCE,0.1,nta,0,0.20796928439601628,90,0.4634770190975644,149,0.401223186319828
SP,SCE,0.1,lnmr,0,0.25892715901808583,149,0.5690694601320456,149,0.5690694601320456
SP,SCE,0.2,nta,0,0.183024437929838,30,0.4172101221072963,149,0.3197708895490695
SP,SCE,0.2,lnmr,0,0.2593183598864969,149,0.6371143247024332,149,0.6371143247024332
SP,SCE,0.3,nta,0,0.1611529888369238,60,0.32218837609122203,149,0.26979344787460696
SP,SCE,0.3,lnmr,0,0.29490006518720824,149,0.6701167640844659,149,0.6701167640844659
SP,SCE,0.4,nta,0,0.14731148278021083,90,0.2520376929889125,149,0.2195335429494835
SP,SCE,0.4,lnmr,0,0.2408178029469059,149,0.6947019820244724,149,0.6947019820244724
SP,SCE,0.5,nta,0,0.13683364431966488,30,0.22107395899992496,149,0.19519701328374933
SP,SCE,0.5,lnmr,0,0.24706072378977245,149,0.6958545038527929,149,0.6958545038527929
SP,baseline,0.1,nta,0,0.0628487335168866,90,0.12148942509549254,149,0.116467100578356
SP,baseline,0.1,lnmr,0,0.1371485938194835,149,0.759431361042846,149,0.759431361042846
SP,baseline,0.2,nta,0,0.059148100969380425,120,0.11522670743323078,149,0.1107922599512547
SP,baseline,0.2,lnmr,0,0.13377791292670294,149,0.7441306773350315,149,0.7441306773350315
SP,baseline,0.3,nta,0,0.046912730936321624,149,0.10987458422329274,149,0.10987458422329274
SP,baseline,0.3,lnmr,0,0.11020297051229677,149,0.6965155470463081,149,0.6965155470463081
SP,baseline,0.4,nta,0,0.057118725549124026,149,0.11097463778245956,149,0.11097463778245956
SP,baseline,0.4,lnmr,0,0.11123209052064338,149,0.6526401184783144,149,0.6526401184783144
SP,baseline,0.5,nta,0,0.056890919712069735,149,0.12024769790808428,149,0.12024769790808428
SP,baseline,0.5,lnmr,0,0.1138810816521765,149,0.6354831175454496,149,0.6354831175454496
