protocol,method,tau,true_class,pred_class,count,rate
S,SCE,0.0,nv,vasc,32.0,0.005922635572829909
S,SCE,0.0,nv,df,53.0,0.009809365167499537
S,SCE,0.0,bkl,nv,52.0,0.07152682255845942
S,SCE,0.0,bkl,bkl,402.0,0.5529573590096286
S,SCE,0.0,bkl,mel,133.0,0.1829436038514443
S,SCE,0.0,bkl,bcc,38.0,0.052269601100412656
S,SCE,0.0,bkl,akiec,85.0,0.11691884456671252
S,SCE,0.0,bkl,vasc,5.0,0.0068775790921595595
S,SCE,0.0,bkl,df,12.0,0.016506189821182942
S,SCE,0.0,mel,nv,54.0,0.08794788273615635
S,SCE,0.0,mel,bkl,68.0,0.11074918566775244
S,SCE,0.0,mel,mel,413.0,0.6726384364820847
S,SCE,0.0,mel,bcc,22.0,0.035830618892508145
S,SCE,0.0,mel,akiec,48.0,0.0781758957654723
S,SCE,0.0,mel,vasc,3.0,0.004885993485342019
S,SCE,0.0,mel,df,6.0,0.009771986970684038
S,SCE,0.0,bcc,nv,3.0,0.009174311926605505
S,SCE,0.0,bcc,bkl,16.0,0.04892966360856269
S,SCE,0.0,bcc,mel,15.0,0.045871559633027525
S,SCE,0.0,bcc,bcc,239.0,0.7308868501529052
S,SCE,0.0,bcc,akiec,42.0,0.12844036697247707
S,SCE,0.0,bcc,vasc,2.0,0.0061162079510703364
S,SCE,0.0,bcc,df,10.0,0.03058103975535168
S,SCE,0.0,akiec,nv,4.0,0.017543859649122806
S,SCE,0.0,akiec,bkl,28.0,0.12280701754385964
S,SCE,0.0,akiec,mel,31.0,0.13596491228070176
S,SCE,0.0,akiec,bcc,37.0,0.16228070175438597
S,SCE,0.0,akiec,akiec,123.0,0.5394736842105263
S,SCE,0.0,akiec,vasc,1.0,0.0043859649122807015
S,SCE,0.0,akiec,df,4.0,0.017543859649122806
S,SCE,0.0,vasc,nv,4.0,0.04081632653061224
S,SCE,0.0,vasc,bkl,0.0,0.0
S,SCE,0.0,vasc,mel,1.0,0.01020408163265306
S,SCE,0.0,vasc,bcc,5.0,0.05102040816326531
S,SCE,0.0,vasc,akiec,0.0,0.0
S,SCE,0.0,vasc,vasc,86.0,0.8775510204081632
