protocol,diagnostic,method,tau,class_name,value
S,perclass_nta,SCE,0.4,nv,0.12943413285090943
S,perclass_nta,SCE,0.4,bkl,0.297579710265023
S,perclass_nta,SCE,0.4,mel,0.344689899699946
S,perclass_nta,SCE,0.4,bcc,0.443768473497325
S,perclass_nta,SCE,0.4,akiec,0.519646669592027
S,perclass_nta,SCE,0.4,vasc,0.5747494296291136
S,perclass_nta,SCE,0.4,df,0.4674429421301423
S,perclass_nta,ELR,0.4,nv,0.0
S,perclass_nta,ELR,0.4,bkl,0.12636862206181673
S,perclass_nta,ELR,0.4,mel,0.18170486984043918
S,perclass_nta,ELR,0.4,bcc,0.4674700536311148
S,perclass_nta,ELR,0.4,akiec,0.6373767331787852
S,perclass_nta,ELR,0.4,vasc,0.5873739091850012
S,perclass_nta,ELR,0.4,df,0.5508426996415017
S,perclass_nta,AsyCo,0.4,nv,0.021784507723872394
S,perclass_nta,AsyCo,0.4,bkl,0.051741093269386654
S,perclass_nta,AsyCo,0.4,mel,0.3126285659913162
S,perclass_nta,AsyCo,0.4,bcc,0.4306915369737195
S,perclass_nta,AsyCo,0.4,akiec,0.7626800645329561
S,perclass_nta,AsyCo,0.4,vasc,0.846408222670046
S,perclass_nta,AsyCo,0.4,df,0.36790352347878125
S,perclass_nta,baseline,0.5,nv,0.0012376283070483465
S,perclass_nta,baseline,0.5,bkl,0.13232258951347137
S,perclass_nta,baseline,0.5,mel,0.14270722492052268
S,perclass_nta,baseline,0.5,bcc,0.4614391513641568
S,perclass_nta,baseline,0.5,akiec,0.6361369626909388
S,perclass_nta,baseline,0.5,vasc,0.5776992823271854
S,perclass_nta,baseline,0.5,df,0.5512786331376127
S,perclass_nta,SCE,0.5,nv,0.06023320641436123
S,perclass_nta,SCE,0.5,bkl,0.257783614583291
S,perclass_nta,SCE,0.5,mel,0.31922484945687807
S,perclass_nta,SCE,0.5,bcc,0.44951153736039096
S,perclass_nta,SCE,0.5,akiec,0.549684271628814
S,perclass_nta,SCE,0.5,vasc,0.5553906075207016
S,perclass_nta,SCE,0.5,df,0.5295835212262515
S,perclass_nta,ELR,0.5,nv,0.0002455657983463995
S,perclass_nta,ELR,0.5,bkl,0.09289599998380624
S,perclass_nta,ELR,0.5,mel,0.1270362277857458
S,perclass_nta,ELR,0.5,bcc,0.451157818707239
S,perclass_nta,ELR,0.5,akiec,0.6491316292832352
S,perclass_nta,ELR,0.5,vasc,0.5774166104437783
S,perclass_nta,ELR,0.5,df,0.5382733072248044
S,perclass_nta,AsyCo,0.5,nv,0.006288812422797961
S,perclass_nta,AsyCo,0.5,bkl,0.039428202697770594
S,perclass_nta,AsyCo,0.5,mel,0.26061807723216934
S,perclass_nta,AsyCo,0.5,bcc,0.4518467978463547
S,perclass_nta,AsyCo,0.5,akiec,0.7420170387569369
S,perclass_nta,AsyCo,0.5,vasc,0.8583872408190778
S,perclass_nta,AsyCo,0.5,df,0.3252854770215677
S,perclass_lnmr,baseline,0.1,nv,0.5002497677775335
S,perclass_lnmr,baseline,0.1,bkl,0.42621276182831236
S,perclass_lnmr,baseline,0.1,mel,0.32098064184203257
S,perclass_lnmr,baseline,0.1,bcc,0.42287599764383427
S,perclass_lnmr,baseline,0.1,akiec,0.2709561908007993
S,perclass_lnmr,baseline,0.1,vasc,0.43806765130294545
S,perclass_lnmr,baseline,0.1,df,0.2563888888888889
S,perclass_lnmr,SCE,0.1,nv,0.4138982232534293
S,perclass_lnmr,SCE,0.1,bkl,0.5360601702640173
S,perclass_lnmr,SCE,0.1,mel,0.4096510599762859
S,perclass_lnmr,SCE,0.1,bcc,0.49417875088789626
S,perclass_lnmr,SCE,0.1,akiec,0.39031375805028967
S,perclass_lnmr,SCE,0.1,vasc,0.4939932942874119
S,perclass_lnmr,SCE,0.1,df,0.30972222222222223
S,perclass_lnmr,ELR,0.1,nv,0.4655500038114756
S,perclass_lnmr,ELR,0.1,bkl,0.4450895833646533
S,perclass_lnmr,ELR,0.1,mel,0.2957706400192994
S,perclass_lnmr,ELR,0.1,bcc,0.4446428377165216
S,perclass_lnmr,ELR,0.1,akiec,0.26326477588357794
S,perclass_lnmr,ELR,0.1,vasc,0.44983235718529835
S,perclass_lnmr,ELR,0.1,df,0.23361111111111113
S,perclass_lnmr,AsyCo,0.1,nv,0.2603493341732378
S,perclass_lnmr,AsyCo,0.1,bkl,0.28995403695908556
