protocol,method,tau,true_class,pred_class,delta_rate
A,SCE,0.2,akiec,bcc,0.05263157894736842
A,SCE,0.2,akiec,akiec,0.06578947368421051
A,SCE,0.2,akiec,vasc,0.0043859649122807015
A,SCE,0.2,akiec,df,0.043859649122807015
A,SCE,0.2,vasc,nv,-0.01020408163265306
A,SCE,0.2,vasc,bkl,0.0
A,SCE,0.2,vasc,mel,0.02040816326530612
A,SCE,0.2,vasc,bcc,0.05102040816326531
A,SCE,0.2,vasc,akiec,-0.01020408163265306
A,SCE,0.2,vasc,vasc,-0.08163265306122447
A,SCE,0.2,vasc,df,0.030612244897959183
A,SCE,0.2,df,nv,-0.0273972602739726
A,SCE,0.2,df,bkl,0.0
A,SCE,0.2,df,mel,0.0
A,SCE,0.2,df,bcc,-0.0273972602739726
A,SCE,0.2,df,akiec,0.0273972602739726
A,SCE,0.2,df,vasc,0.0
A,SCE,0.2,df,df,0.0273972602739726
A,ELR,0.2,nv,nv,-0.05015732000740329
A,ELR,0.2,nv,bkl,0.0012955765315565415
A,ELR,0.2,nv,mel,-0.06885063853414769
A,ELR,0.2,nv,bcc,0.04812141402924301
A,ELR,0.2,nv,akiec,0.07921525078660005
A,ELR,0.2,nv,vasc,0.297427355173052
A,ELR,0.2,nv,df,-0.30705163797890056
A,ELR,0.2,bkl,nv,-0.001375515818431912
A,ELR,0.2,bkl,bkl,-0.1279229711141678
A,ELR,0.2,bkl,mel,-0.11829436038514443
A,ELR,0.2,bkl,bcc,0.05639614855570839
A,ELR,0.2,bkl,akiec,0.16918844566712515
A,ELR,0.2,bkl,vasc,0.019257221458046765
A,ELR,0.2,bkl,df,0.0027510316368638266
A,ELR,0.2,mel,nv,-0.003257328990228013
A,ELR,0.2,mel,bkl,-0.00814332247557003
A,ELR,0.2,mel,mel,-0.267100977198697
A,ELR,0.2,mel,bcc,0.030944625407166124
A,ELR,0.2,mel,akiec,0.18241042345276873
A,ELR,0.2,mel,vasc,0.03420195439739414
A,ELR,0.2,mel,df,0.030944625407166117
A,ELR,0.2,bcc,nv,0.0
A,ELR,0.2,bcc,bkl,-0.009174311926605505
A,ELR,0.2,bcc,mel,-0.021406727828746176
A,ELR,0.2,bcc,bcc,-0.00917431192660556
A,ELR,0.2,bcc,akiec,0.006116207951070346
A,ELR,0.2,bcc,vasc,0.0030581039755351695
A,ELR,0.2,bcc,df,0.03058103975535169
A,ELR,0.2,akiec,nv,0.0
A,ELR,0.2,akiec,bkl,0.0043859649122807015
A,ELR,0.2,akiec,mel,-0.039473684210526314
A,ELR,0.2,akiec,bcc,0.035087719298245626
A,ELR,0.2,akiec,akiec,-0.013157894736842146
A,ELR,0.2,akiec,vasc,0.0043859649122807015
