protocol,method,tau,fold,nta,lnmr,residual
A,SCE,0.2,7,0.303202846975089,0.3629893238434163,0.33380782918149476
A,SCE,0.2,8,0.2751436781609195,0.3800287356321839,0.3448275862068965
A,SCE,0.2,9,0.3433823529411764,0.3867647058823529,0.26985294117647074
A,SCE,0.3,0,0.1696910250122609,0.459048553212359,0.37126042177538005
A,SCE,0.3,1,0.217855409995148,0.3614750121300339,0.4206695778748181
A,SCE,0.3,2,0.1842369477911646,0.4553212851405622,0.3604417670682732
A,SCE,0.3,3,0.2467980295566502,0.3911330049261083,0.3620689655172415
A,SCE,0.3,4,0.2718987341772151,0.3994936708860759,0.328607594936709
A,SCE,0.3,5,0.2854977261243052,0.4007074279939363,0.31379484588175843
A,SCE,0.3,6,0.2302792748652621,0.3860852523272905,0.38363547280744736
A,SCE,0.3,7,0.2214498510427011,0.3773584905660377,0.4011916583912612
A,SCE,0.3,8,0.2673663168415792,0.3683158420789605,0.3643178410794603
A,SCE,0.3,9,0.2972166998011928,0.3727634194831014,0.3300198807157058
A,SCE,0.4,0,0.1284577491474043,0.4600227358848048,0.41151951496779093
A,SCE,0.4,1,0.1156090444930707,0.4442013129102845,0.4401896425966448
A,SCE,0.4,2,0.1194656488549618,0.4477099236641221,0.4328244274809161
A,SCE,0.4,3,0.1138211382113821,0.434220251293422,0.4519586104951959
A,SCE,0.4,4,0.1270864946889226,0.4070561456752655,0.4658573596358119
A,SCE,0.4,5,0.1212458286985539,0.4008157211716722,0.4779384501297739
A,SCE,0.4,6,0.1203840472673559,0.439069423929099,0.44054652880354517
A,SCE,0.4,7,0.1294964028776978,0.4157516092389246,0.45475198788337756
A,SCE,0.4,8,0.12,0.4059259259259259,0.4740740740740741
A,SCE,0.4,9,0.1493651979088872,0.3995519044062733,0.45108289768483945
A,SCE,0.5,0,0.1025563909774436,0.4009022556390977,0.4965413533834587
A,SCE,0.5,1,0.1076429404900816,0.4159859976662777,0.4763710618436407
A,SCE,0.5,2,0.1029411764705882,0.4297719087635054,0.4672869147659064
A,SCE,0.5,3,0.1076099881093935,0.3989298454221165,0.49346016646849
A,SCE,0.5,4,0.1011708195737016,0.3953767637346142,0.5034524166916843
A,SCE,0.5,5,0.1219584569732937,0.4207715133531157,0.45727002967359065
A,SCE,0.5,6,0.0946185688941454,0.3681253696037847,0.5372560615020698
A,SCE,0.5,7,0.1175401393517116,0.4162375037867313,0.4662223568615571
A,SCE,0.5,8,0.1036439665471923,0.4172640382317801,0.4790919952210276
A,SCE,0.5,9,0.1024258760107816,0.4207846660676849,0.47678945792153354
A,baseline,0.0,0,,,
A,baseline,0.0,1,,,
A,baseline,0.0,2,,,
A,baseline,0.0,3,,,
A,baseline,0.0,4,,,
A,baseline,0.0,5,,,
A,baseline,0.0,6,,,
A,baseline,0.0,7,,,
A,baseline,0.0,8,,,
A,baseline,0.0,9,,,
A,baseline,0.1,0,0.1238317757009345,0.3831775700934579,0.4929906542056076
A,baseline,0.1,1,0.1138497652582159,0.4413145539906103,0.4448356807511738
A,baseline,0.1,2,0.1014994232987312,0.4752018454440599,0.4232987312572089
A,baseline,0.1,3,0.1286894923258559,0.48642266824085,0.3848878394332941
A,baseline,0.1,4,0.1109756097560975,0.4378048780487805,0.45121951219512196
A,baseline,0.1,5,0.0997624703087886,0.4726840855106888,0.4275534441805226
A,baseline,0.1,6,0.1135321100917431,0.4415137614678899,0.44495412844036697
A,baseline,0.1,7,0.1079545454545454,0.4170454545454545,0.4750000000000001
A,baseline,0.1,8,0.1092342342342342,0.4414414414414414,0.44932432432432445
A,baseline,0.1,9,0.0980163360560093,0.439906651108518,0.46207701283547264
A,baseline,0.2,0,0.1076812634601579,0.3883704235463029,0.5039483129935391
A,baseline,0.2,1,0.1071942446043165,0.3618705035971223,0.5309352517985613
A,baseline,0.2,2,0.0936599423631124,0.3962536023054755,0.5100864553314122
A,baseline,0.2,3,0.1055350553505535,0.4346863468634686,0.4597785977859779
A,baseline,0.2,4,0.1156716417910447,0.4201492537313432,0.46417910447761207
A,baseline,0.2,5,0.1100513573000733,0.4512105649303008,0.43873807776962587
A,baseline,0.2,6,0.1129378127233738,0.3874195854181558,0.4996426018584704
A,baseline,0.2,7,0.098932384341637,0.3608540925266904,0.5402135231316727
A,baseline,0.2,8,0.0941091954022988,0.3979885057471264,0.5079022988505748
A,baseline,0.2,9,0.0941176470588235,0.4110294117647058,0.49485294117647066
A,baseline,0.3,0,0.0897498773908778,0.3575282000980873,0.5527219225110349
A,baseline,0.3,1,0.0849102377486657,0.3153808830664726,0.5997088791848617
A,baseline,0.3,2,0.0873493975903614,0.3564257028112449,0.5562248995983936
A,baseline,0.3,3,0.0812807881773399,0.3561576354679803,0.5625615763546798
A,baseline,0.3,4,0.0916455696202531,0.3392405063291139,0.5691139240506331
A,baseline,0.3,5,0.0853966649823143,0.3865588681152097,0.528044466902476
A,baseline,0.3,6,0.0896619304262616,0.3571778539931406,0.5531602155805978
A,baseline,0.3,7,0.083416087388282,0.3445878848063555,0.5719960278053625
A,baseline,0.3,8,0.0889555222388805,0.3723138430784607,0.5387306346826588
A,baseline,0.3,9,0.0924453280318091,0.3692842942345924,0.5382703777335984
A,baseline,0.4,0,0.0867752936718454,0.3342175066312997,0.5790071996968549
A,baseline,0.4,1,0.0827862873814733,0.3202042304886944,0.5970094821298323
A,baseline,0.4,2,0.0904580152671755,0.3431297709923664,0.5664122137404581
A,baseline,0.4,3,0.0801921655580192,0.319660014781966,0.6001478196600147
A,baseline,0.4,4,0.0804248861911987,0.3216995447647951,0.5978755690440062
A,baseline,0.4,5,0.0782350760103819,0.3096032628846867,0.6121616611049314
A,baseline,0.4,6,0.0853028064992614,0.3020679468242245,0.6126292466765142
A,baseline,0.4,7,0.0836804240817872,0.3135176069670579,0.6028019689511549
A,baseline,0.4,8,0.0792592592592592,0.317037037037037,0.6037037037037039
A,baseline,0.4,9,0.0821508588498879,0.3024645257654966,0.6153846153846154
A,baseline,0.5,0,0.0637593984962406,0.2724812030075188,0.6637593984962407
A,baseline,0.5,1,0.0743873978996499,0.2815052508751459,0.6441073512252042
A,baseline,0.5,2,0.0822328931572629,0.3013205282112845,0.6164465786314526
A,baseline,0.5,3,0.0763971462544589,0.270808561236623,0.6527942925089181
A,baseline,0.5,4,0.0678474932452716,0.2854998498949264,0.646652656859802
A,baseline,0.5,5,0.0810089020771513,0.2851632047477744,0.6338278931750743
A,baseline,0.5,6,0.0807214665878178,0.3030751034890597,0.6162034299231225
A,baseline,0.5,7,0.0793698879127537,0.2959709179036655,0.6246591941835808
A,baseline,0.5,8,0.0770609318996415,0.2956989247311828,0.6272401433691757
A,baseline,0.5,9,0.0751722072476789,0.3096735549565738,0.6151542377957473
AP,AsyCo,0.0,0,,,
AP,AsyCo,0.0,1,,,
AP,AsyCo,0.0,2,,,
AP,AsyCo,0.0,3,,,
